iter	RMSE
0	0.8559310723
1	0.8487447878
2	0.8419091492
3	0.8352629051
4	0.8287098731
5	0.8219073933
6	0.8150628417
7	0.8083300577
8	0.8015668034
9	0.7953786559
10	0.7886990026
11	0.7822782786
12	0.7759113811
13	0.7694387359
14	0.7630966247
15	0.7566153337
16	0.7505502773
17	0.7441901627
18	0.7379728853
19	0.7319016337
20	0.7257979909
21	0.719882056
22	0.7141290948
23	0.7082499884
24	0.7024702644
25	0.6965887266
26	0.6909673039
27	0.6853312786
28	0.6799040055
29	0.6744088641
30	0.668755883
31	0.6633009477
32	0.6579049281
33	0.6523441592
34	0.6469892019
35	0.6418417718
36	0.636661561
37	0.6314541098
38	0.6261770788
39	0.621017685
40	0.6160882411
41	0.6111352869
42	0.6060149527
43	0.6011200134
44	0.596280325
45	0.5914046744
46	0.5866854602
47	0.5820031071
48	0.5772328368
49	0.572587075
50	0.5679223436
51	0.5634666926
52	0.5590107325
53	0.554593036
54	0.5500576461
55	0.5456847612
56	0.5412873433
57	0.5370801807
58	0.5328253724
59	0.5284766647
60	0.5242347169
61	0.5200475847
62	0.515848924
63	0.5116114825
64	0.5078223486
65	0.5037258324
66	0.4996571472
67	0.4958138427
68	0.4919644062
69	0.4880584438
70	0.4841943972
71	0.4803727354
72	0.4766290777
73	0.4729107318
74	0.4693117552
75	0.4657083789
76	0.4620865682
77	0.458493392
78	0.454923279
79	0.4513257334
80	0.4478390069
81	0.4443923481
82	0.4409720143
83	0.4374980062
84	0.4340480119
85	0.4307321563
86	0.4276290965
87	0.4243993838
88	0.4211841307
89	0.4179671764
90	0.4147511137
91	0.4116396708
92	0.4084275254
93	0.4053905891
94	0.4023101363
95	0.3992936065
96	0.3961239994
97	0.393219809
98	0.3902102275
99	0.3872585824
100	0.3843017582
101	0.381485855
102	0.3786479621
103	0.3757480099
104	0.372887796
105	0.3702996836
106	0.3674703301
107	0.3647114878
108	0.3619155125
109	0.3591512848
110	0.356452003
111	0.3538779809
112	0.3512324847
113	0.3486174489
114	0.3461923879
115	0.3436497806
116	0.3411434396
117	0.3387901488
118	0.3363804319
119	0.3338492368
120	0.3314558487
121	0.3290665361
122	0.3266412438
123	0.3243097897
124	0.3219954627
125	0.3197416555
126	0.3175522464
127	0.3153565237
128	0.3130823073
129	0.3108209386
130	0.3086149833
131	0.3063890206
132	0.3041911475
133	0.3021097327
134	0.299948705
135	0.2978127001
136	0.2957932571
137	0.293754898
138	0.2917478225
139	0.2897516516
140	0.2876932751
141	0.2856633718
142	0.2837639182
143	0.2818459133
144	0.2799107089
145	0.278045268
146	0.2761664946
147	0.2743390691
148	0.272413635
149	0.2705725192
150	0.2687973959
151	0.2669532758
152	0.265125508
153	0.2634056918
154	0.2616357991
155	0.2599430198
156	0.258187001
157	0.2564476077
158	0.2547943694
159	0.2531270589
160	0.2514509676
161	0.2497741493
162	0.2481093424
163	0.2465041568
164	0.2448823625
165	0.2432828078
166	0.2417858887
167	0.2402131731
168	0.2386498801
169	0.2371119906
170	0.2355925601
171	0.2340844004
